ddate,returnid,shipmentid,transactionid
12/23/2015,562,1168,1168
3/21/2015,130,1169,1169
4/22/2014,308,1170,1170
9/1/2015,240,1171,1171
4/24/2015,625,1172,1172
8/24/2014,483,1173,1173
7/15/2015,426,1174,1174
8/3/2015,783,1175,1175
5/26/2015,460,1176,1176
5/19/2015,56,1177,1177
6/7/2015,54,1178,1178
8/6/2014,988,1179,1179
9/5/2014,972,1180,1180
12/29/2015,3,1181,1181
9/24/2015,50,1182,1182
6/2/2014,23,1183,1183
3/3/2015,918,1184,1184
8/26/2014,943,1185,1185
7/6/2015,560,1186,1186
5/26/2015,926,1187,1187
9/6/2014,828,1188,1188
5/6/2015,759,1189,1189
10/7/2015,650,1190,1190
4/23/2016,362,1191,1191
8/4/2014,19,1192,1192
8/9/2015,84,1193,1193
12/29/2014,49,1194,1194
12/25/2016,263,1195,1195
3/14/2015,404,1196,1196
4/30/2016,406,1197,1197
12/28/2014,773,1198,1198
1/13/2016,919,1199,1199
7/16/2014,997,1200,1200
7/10/2015,681,1201,1201
11/15/2014,341,1202,1202
7/11/2014,851,1203,1203
11/1/2014,835,1204,1204
6/11/2014,669,1205,1205
2/19/2017,366,1206,1206
11/1/2016,700,1207,1207
4/11/2014,17,1208,1208
6/16/2016,217,1209,1209
1/4/2017,155,1210,1210
10/11/2015,816,1211,1211
4/7/2014,803,1212,1212
12/13/2016,363,1213,1213
3/20/2016,168,1214,1214
8/1/2016,808,1215,1215
11/13/2016,741,1216,1216
10/24/2016,742,1217,1217
9/12/2015,55,1218,1218
4/11/2016,948,1219,1219
6/3/2015,174,1220,1220
9/19/2016,487,1221,1221
6/19/2016,857,1222,1222
11/21/2016,227,1223,1223
6/10/2014,389,1224,1224
2/18/2017,302,1225,1225
9/14/2016,858,1226,1226
2/1/2015,414,1227,1227
8/25/2014,66,1228,1228
9/26/2014,442,1229,1229
9/17/2016,229,1230,1230
7/11/2015,406,1231,1231
4/1/2017,359,1232,1232
10/19/2016,211,1233,1233
9/20/2016,521,1234,1234
12/29/2016,387,1235,1235
7/31/2016,246,1236,1236
8/10/2014,168,1237,1237
11/1/2016,442,1238,1238
3/20/2016,775,1239,1239
11/9/2016,41,1240,1240
3/18/2015,639,1241,1241
11/2/2016,91,1242,1242
8/8/2015,130,1243,1243
1/6/2015,696,1244,1244
3/23/2016,627,1245,1245
11/7/2015,606,1246,1246
11/22/2016,40,1247,1247
4/11/2016,280,1248,1248
1/15/2016,35,1249,1249
9/26/2016,129,1250,1250
11/8/2015,522,1251,1251
7/1/2015,923,1252,1252
3/9/2017,713,1253,1253
3/9/2015,28,1254,1254
8/22/2014,943,1255,1255
4/22/2016,523,1256,1256
9/20/2015,609,1257,1257
3/15/2017,106,1258,1258
3/11/2015,566,1259,1259
2/2/2016,544,1260,1260
5/29/2014,247,1261,1261
1/6/2015,657,1262,1262
9/30/2016,632,1263,1263
6/8/2016,44,1264,1264
11/1/2014,372,1265,1265
8/3/2016,124,1266,1266
5/15/2014,985,1267,1267
7/25/2016,349,1268,1268
8/4/2014,130,1269,1269
10/6/2015,802,1270,1270
6/30/2016,677,1271,1271
7/26/2016,719,1272,1272
3/19/2017,550,1273,1273
3/6/2016,588,1274,1274
12/5/2016,432,1275,1275
10/8/2014,477,1276,1276
5/29/2014,723,1277,1277
12/10/2016,573,1278,1278
3/27/2016,379,1279,1279
8/14/2015,712,1280,1280
9/2/2016,638,1281,1281
1/29/2017,909,1282,1282
7/12/2015,742,1283,1283
6/27/2015,680,1284,1284
6/28/2015,140,1285,1285
12/15/2016,511,1286,1286
3/5/2015,245,1287,1287
4/9/2014,731,1288,1288
2/22/2016,113,1289,1289
8/9/2014,646,1290,1290
3/2/2015,626,1291,1291
4/6/2016,457,1292,1292
1/25/2016,870,1293,1293
10/19/2014,151,1294,1294
1/30/2016,248,1295,1295
6/23/2015,907,1296,1296
5/18/2016,238,1297,1297
3/27/2016,246,1298,1298
6/27/2015,634,1299,1299
4/14/2014,921,1300,1300
11/15/2014,501,1301,1301
2/27/2016,558,1302,1302
4/29/2014,4,1303,1303
9/7/2016,789,1304,1304
12/27/2014,487,1305,1305
9/30/2015,180,1306,1306
1/19/2017,653,1307,1307
5/24/2015,387,1308,1308
6/9/2014,458,1309,1309
9/25/2014,425,1310,1310
2/8/2017,955,1311,1311
8/31/2014,961,1312,1312
10/30/2014,593,1313,1313
1/17/2017,882,1314,1314
5/27/2014,302,1315,1315
7/15/2015,6,1316,1316
8/9/2016,863,1317,1317
5/31/2015,732,1318,1318
9/28/2014,487,1319,1319
1/6/2017,814,1320,1320
10/4/2015,154,1321,1321
2/4/2016,63,1322,1322
12/5/2015,189,1323,1323
5/20/2014,687,1324,1324
10/27/2015,281,1325,1325
2/18/2017,76,1326,1326
11/13/2014,142,1327,1327
3/16/2016,386,1328,1328
10/8/2015,366,1329,1329
5/5/2014,692,1330,1330
10/29/2015,668,1331,1331
3/7/2016,505,1332,1332
6/1/2015,3,1333,1333
6/23/2015,642,1334,1334
3/29/2017,162,1335,1335
10/13/2016,62,1336,1336
9/15/2016,376,1337,1337
3/25/2015,438,1338,1338
6/15/2015,820,1339,1339
4/25/2015,359,1340,1340
7/29/2016,366,1341,1341
3/13/2015,332,1342,1342
4/30/2015,680,1343,1343
1/22/2017,759,1344,1344
1/27/2016,57,1345,1345
3/19/2017,739,1346,1346
3/7/2015,589,1347,1347
9/2/2015,436,1348,1348
7/27/2015,487,1349,1349
2/27/2017,629,1350,1350
9/23/2014,412,1351,1351
1/2/2017,445,1352,1352
2/9/2017,19,1353,1353
7/27/2015,595,1354,1354
11/5/2015,280,1355,1355
2/11/2016,926,1356,1356
11/29/2016,266,1357,1357
4/8/2014,655,1358,1358
11/6/2014,97,1359,1359
10/10/2015,705,1360,1360
8/25/2014,920,1361,1361
4/1/2015,387,1362,1362
10/13/2015,838,1363,1363
8/24/2016,233,1364,1364
4/24/2016,555,1365,1365
4/11/2015,891,1366,1366
4/21/2016,646,1367,1367
4/4/2015,119,1368,1368
2/16/2015,702,1369,1369
4/30/2015,744,1370,1370
8/25/2014,976,1371,1371
3/23/2017,310,1372,1372
10/3/2014,991,1373,1373
2/3/2017,542,1374,1374
3/28/2015,172,1375,1375
12/13/2015,537,1376,1376
9/2/2015,288,1377,1377
10/10/2016,323,1378,1378
11/2/2014,214,1379,1379
12/8/2016,600,1380,1380
5/9/2014,318,1381,1381
9/29/2014,811,1382,1382
9/29/2016,963,1383,1383
7/21/2015,473,1384,1384
2/1/2017,430,1385,1385
10/15/2016,346,1386,1386
