shipcost,shipmode,shipdate,transactionid,shipmentid
18,express Air,5/13/2016,1,1
6,Deleiivery Truck,10/24/2015,2,2
18,Regular Air,2/14/2016,3,3
3,Deleiivery Truck,12/29/2015,4,4
16,express Air,11/1/2014,5,5
2,Regular Air,8/21/2016,6,6
12,express Air,3/8/2015,7,7
5,express Air,11/17/2016,8,8
19,express Air,5/22/2015,9,9
2,Regular Air,7/10/2016,10,10
19,Deleiivery Truck,12/16/2016,11,11
12,express Air,7/20/2014,12,12
13,express Air,3/16/2016,13,13
3,express Air,7/17/2015,14,14
19,Deleiivery Truck,7/7/2015,15,15
5,express Air,7/25/2016,16,16
17,Deleiivery Truck,6/13/2016,17,17
10,express Air,1/23/2016,18,18
4,Deleiivery Truck,1/23/2017,19,19
2,Deleiivery Truck,7/6/2015,20,20
15,express Air,5/24/2015,21,21
17,Regular Air,6/27/2016,22,22
19,express Air,9/20/2014,23,23
18,Deleiivery Truck,12/31/2015,24,24
2,Regular Air,7/8/2016,25,25
12,express Air,8/23/2016,26,26
10,Regular Air,7/28/2016,27,27
4,Deleiivery Truck,4/19/2015,28,28
1,Deleiivery Truck,3/26/2016,29,29
13,Regular Air,10/4/2015,30,30
15,express Air,1/5/2016,31,31
6,Deleiivery Truck,8/10/2015,32,32
6,Regular Air,10/10/2014,33,33
18,express Air,11/28/2014,34,34
2,express Air,5/4/2015,35,35
15,Deleiivery Truck,5/17/2015,36,36
17,Regular Air,4/28/2015,37,37
18,Regular Air,1/15/2017,38,38
17,Deleiivery Truck,9/21/2016,39,39
16,Regular Air,3/22/2017,40,40
1,Regular Air,6/1/2015,41,41
11,Regular Air,11/4/2016,42,42
18,Regular Air,5/8/2015,43,43
19,Deleiivery Truck,10/25/2014,44,44
6,express Air,3/6/2015,45,45
17,Deleiivery Truck,6/2/2014,46,46
6,express Air,7/27/2014,47,47
9,Deleiivery Truck,6/10/2014,48,48
19,Regular Air,2/21/2017,49,49
7,Deleiivery Truck,11/28/2015,50,50
12,express Air,5/15/2016,51,51
13,Deleiivery Truck,5/5/2014,52,52
14,Regular Air,11/27/2015,53,53
18,Deleiivery Truck,8/18/2016,54,54
7,express Air,8/17/2015,55,55
13,Deleiivery Truck,3/24/2015,56,56
9,express Air,6/3/2016,57,57
2,Regular Air,2/2/2016,58,58
17,Deleiivery Truck,10/18/2016,59,59
12,Regular Air,11/12/2014,60,60
12,Deleiivery Truck,11/2/2014,61,61
10,Regular Air,12/26/2014,62,62
1,Regular Air,1/27/2016,63,63
13,Regular Air,9/23/2015,64,64
17,Regular Air,8/14/2015,65,65
8,express Air,1/3/2017,66,66
9,Deleiivery Truck,12/19/2015,67,67
1,Deleiivery Truck,9/16/2014,68,68
11,Regular Air,7/8/2014,69,69
12,Deleiivery Truck,5/20/2015,70,70
17,express Air,2/18/2017,71,71
5,Regular Air,5/16/2016,72,72
5,express Air,12/20/2016,73,73
10,Regular Air,2/16/2017,74,74
10,express Air,6/16/2016,75,75
14,express Air,8/31/2014,76,76
6,express Air,12/11/2016,77,77
17,express Air,6/20/2014,78,78
8,Deleiivery Truck,9/2/2016,79,79
19,express Air,8/16/2015,80,80
13,Deleiivery Truck,9/15/2015,81,81
1,Deleiivery Truck,5/4/2015,82,82
7,Regular Air,6/29/2016,83,83
2,express Air,6/4/2015,84,84
13,Deleiivery Truck,5/26/2016,85,85
16,express Air,12/14/2015,86,86
15,Regular Air,3/13/2017,87,87
6,Regular Air,9/20/2016,88,88
3,Deleiivery Truck,5/28/2014,89,89
12,express Air,11/14/2016,90,90
14,express Air,3/3/2016,91,91
11,Regular Air,8/24/2014,92,92
8,Deleiivery Truck,9/24/2015,93,93
3,Regular Air,1/19/2015,94,94
17,Regular Air,7/28/2016,95,95
4,Regular Air,7/9/2016,96,96
13,express Air,6/15/2014,97,97
2,Regular Air,3/28/2017,98,98
7,express Air,11/28/2016,99,99
2,Regular Air,6/21/2016,100,100
8,Deleiivery Truck,8/18/2016,101,101
4,Regular Air,9/15/2014,102,102
5,Deleiivery Truck,3/20/2015,103,103
4,express Air,8/24/2015,104,104
3,express Air,7/2/2015,105,105
19,express Air,3/29/2017,106,106
18,express Air,4/29/2015,107,107
6,express Air,9/18/2014,108,108
10,Regular Air,1/20/2016,109,109
16,Deleiivery Truck,4/9/2014,110,110
14,Deleiivery Truck,7/24/2016,111,111
2,express Air,1/17/2015,112,112
2,Deleiivery Truck,10/31/2015,113,113
2,express Air,3/21/2017,114,114
19,express Air,10/22/2016,115,115
12,express Air,10/8/2015,116,116
5,Deleiivery Truck,11/8/2016,117,117
11,express Air,7/29/2015,118,118
1,Regular Air,9/18/2014,119,119
2,Deleiivery Truck,5/26/2016,120,120
10,Regular Air,8/21/2015,121,121
19,express Air,2/15/2017,122,122
5,Regular Air,5/9/2015,123,123
5,Regular Air,8/15/2015,124,124
7,express Air,5/30/2014,125,125
10,Deleiivery Truck,2/18/2017,126,126
3,Deleiivery Truck,6/20/2014,127,127
14,express Air,9/25/2014,128,128
17,express Air,4/21/2014,129,129
3,Deleiivery Truck,4/18/2014,130,130
13,Regular Air,4/5/2014,131,131
3,express Air,3/30/2016,132,132
12,express Air,1/3/2017,133,133
3,express Air,4/22/2014,134,134
16,Deleiivery Truck,9/19/2015,135,135
2,Deleiivery Truck,3/4/2015,136,136
19,express Air,7/28/2015,137,137
8,Deleiivery Truck,10/9/2014,138,138
4,Deleiivery Truck,3/16/2015,139,139
6,Deleiivery Truck,1/20/2016,140,140
13,express Air,11/4/2015,141,141
18,Regular Air,11/30/2015,142,142
16,Deleiivery Truck,4/19/2015,143,143
5,Deleiivery Truck,9/19/2015,144,144
15,express Air,11/2/2016,145,145
18,Regular Air,12/10/2014,146,146
13,Regular Air,1/2/2017,147,147
17,express Air,10/18/2015,148,148
15,Deleiivery Truck,1/10/2015,149,149
9,Deleiivery Truck,4/3/2016,150,150
3,Deleiivery Truck,6/25/2015,151,151
11,express Air,12/16/2015,152,152
12,Deleiivery Truck,4/16/2016,153,153
4,Regular Air,1/12/2017,154,154
17,Deleiivery Truck,12/19/2014,155,155
19,Deleiivery Truck,1/8/2015,156,156
1,Regular Air,1/24/2015,157,157
10,express Air,11/16/2014,158,158
8,Regular Air,12/25/2015,159,159
19,Regular Air,9/14/2015,160,160
19,Regular Air,5/9/2016,161,161
8,express Air,4/2/2016,162,162
13,Deleiivery Truck,6/2/2015,163,163
4,express Air,12/10/2015,164,164
1,Deleiivery Truck,4/24/2014,165,165
11,express Air,2/12/2015,166,166
13,Deleiivery Truck,12/26/2014,167,167
13,Regular Air,1/28/2016,168,168
11,Regular Air,5/20/2014,169,169
18,express Air,2/16/2015,170,170
11,Deleiivery Truck,6/11/2015,171,171
10,Regular Air,8/7/2015,172,172
7,Deleiivery Truck,10/18/2016,173,173
5,express Air,10/31/2014,174,174
14,Deleiivery Truck,4/2/2016,175,175
7,Deleiivery Truck,3/17/2017,176,176
11,Deleiivery Truck,9/23/2015,177,177
5,Deleiivery Truck,3/8/2016,178,178
9,Regular Air,2/10/2015,179,179
2,express Air,7/27/2016,180,180
8,Deleiivery Truck,4/3/2016,181,181
7,express Air,5/8/2016,182,182
10,express Air,5/6/2014,183,183
3,Regular Air,11/29/2015,184,184
12,Regular Air,2/22/2015,185,185
1,express Air,11/7/2015,186,186
7,Regular Air,5/26/2015,187,187
16,express Air,12/15/2014,188,188
10,express Air,6/26/2014,189,189
14,Regular Air,2/6/2015,190,190
12,Regular Air,2/13/2017,191,191
12,Regular Air,3/25/2015,192,192
2,express Air,2/26/2016,193,193
5,express Air,3/18/2016,194,194
6,express Air,9/1/2015,195,195
15,express Air,2/3/2015,196,196
11,express Air,11/3/2016,197,197
8,Regular Air,8/5/2015,198,198
15,Deleiivery Truck,2/9/2016,199,199
6,Regular Air,5/4/2014,200,200
5,express Air,4/2/2016,201,201
2,express Air,11/9/2016,202,202
